,continent,surface_area,population
0,North America,193.0,103000
1,Asia,652090.0,22720000
2,Africa,1246700.0,12878000
3,North America,96.0,8000
4,Europe,28748.0,3401200
5,Europe,468.0,78000
6,North America,800.0,217000
7,Asia,83600.0,2441000
8,South America,2780400.0,37032000
9,Asia,29800.0,3520000
10,Oceania,199.0,68000
11,Antarctica,13120000.0,0
12,Antarctica,7780.0,0
13,North America,442.0,68000
14,Oceania,7741220.0,18886000
15,Europe,83859.0,8091800
16,Asia,86600.0,7734000
17,Africa,27834.0,6695000
18,Europe,30518.0,10239000
19,Africa,112622.0,6097000
20,Africa,274000.0,11937000
21,Asia,143998.0,129155000
22,Europe,110994.0,8190900
23,Asia,694.0,617000
24,North America,13878.0,307000
25,Europe,51197.0,3972000
26,Europe,207600.0,10236000
27,North America,22696.0,241000
28,North America,53.0,65000
29,South America,1098581.0,8329000
30,South America,8547403.0,170115000
31,North America,430.0,270000
32,Asia,5765.0,328000
33,Asia,47000.0,2124000
34,Antarctica,59.0,0
35,Africa,581730.0,1622000
36,Africa,622984.0,3615000
37,North America,9970610.0,31147000
38,Oceania,14.0,600
39,Europe,41284.0,7160400
40,South America,756626.0,15211000
41,Asia,9572900.0,1277558000
42,Africa,322463.0,14786000
43,Africa,475442.0,15085000
44,Africa,2344858.0,51654000
45,Africa,342000.0,2943000
46,Oceania,236.0,20000
47,South America,1138914.0,42321000
48,Africa,1862.0,578000
49,Africa,4033.0,428000
50,North America,51100.0,4023000
51,North America,110861.0,11201000
52,Oceania,135.0,2500
53,North America,264.0,38000
54,Asia,9251.0,754700
55,Europe,78866.0,10278100
56,Europe,357022.0,82164700
57,Africa,23200.0,638000
58,North America,751.0,71000
59,Europe,43094.0,5330000
60,North America,48511.0,8495000
61,Africa,2381741.0,31471000
62,South America,283561.0,12646000
63,Africa,1001449.0,68470000
64,Africa,117600.0,3850000
65,Africa,266000.0,293000
66,Europe,505992.0,39441700
67,Europe,45227.0,1439200
68,Africa,1104300.0,62565000
69,Europe,338145.0,5171300
70,Oceania,18274.0,817000
71,South America,12173.0,2000
72,Europe,551500.0,59225700
73,Europe,1399.0,43000
74,Oceania,702.0,119000
75,Africa,267668.0,1226000
76,Europe,242900.0,59623400
77,Asia,69700.0,4968000
78,Africa,238533.0,20212000
79,Europe,6.0,25000
80,Africa,245857.0,7430000
81,North America,1705.0,456000
82,Africa,11295.0,1305000
83,Africa,36125.0,1213000
84,Africa,28051.0,453000
85,Europe,131626.0,10545700
86,North America,344.0,94000
87,North America,2166090.0,56000
88,North America,108889.0,11385000
89,South America,90000.0,181000
90,Oceania,549.0,168000
91,South America,214969.0,861000
92,Asia,1075.0,6782000
93,Antarctica,359.0,0
94,North America,112088.0,6485000
95,Europe,56538.0,4473000
96,North America,27750.0,8222000
97,Europe,93030.0,10043200
98,Asia,1904569.0,212107000
99,Asia,3287263.0,1013662000
100,Africa,78.0,0
101,Europe,70273.0,3775100
102,Asia,1648195.0,67702000
103,Asia,438317.0,23115000
104,Europe,103000.0,279000
105,Asia,21056.0,6217000
106,Europe,301316.0,57680000
107,North America,10990.0,2583000
108,Asia,88946.0,5083000
109,Asia,377829.0,126714000
110,Asia,2724900.0,16223000
111,Africa,580367.0,30080000
112,Asia,199900.0,4699000
113,Asia,181035.0,11168000
114,Oceania,726.0,83000
115,North America,261.0,38000
116,Asia,99434.0,46844000
117,Asia,17818.0,1972000
118,Asia,236800.0,5433000
119,Asia,10400.0,3282000
120,Africa,111369.0,3154000
121,Africa,1759540.0,5605000
122,North America,622.0,154000
123,Europe,160.0,32300
